순위,선수명,팀명,포지션,경기수,수비이닝,수비승리기여도,평균대비수비득점기여
1,최재훈,hanwha,포수,80,558.2,0.523,5.69
2,이원석,hanwha,중견수,38,202.0,0.398,4.34
3,최인호,hanwha,좌익수,60,383.2,0.372,4.05
4,이도윤,hanwha,유격수,74,516.1,0.281,3.06
5,이재원,hanwha,포수,44,222.2,0.254,2.76
6,김강민,hanwha,중견수,31,153.1,0.218,2.37
7,이진영,hanwha,중견수,19,109.0,0.21,2.28
8,황영묵,hanwha,2루수,47,322.2,0.193,2.1
9,장진혁,hanwha,우익수,14,45.1,0.178,1.94
10,임종찬,hanwha,우익수,13,33.0,0.142,1.54
11,박상언,hanwha,포수,26,113.0,0.123,1.34
12,정은원,hanwha,좌익수,10,70.0,0.075,0.81
13,이원석,hanwha,좌익수,6,25.0,0.074,0.81
14,하주석,hanwha,유격수,28,170.0,0.069,0.75
15,문현빈,hanwha,3루수,3,20.0,0.058,0.63
16,페라자,hanwha,중견수,1,2.0,0.052,0.56
17,이도윤,hanwha,2루수,19,82.0,0.042,0.46
18,장진혁,hanwha,중견수,35,252.0,0.035,0.38
19,유로결,hanwha,우익수,1,2.0,0.028,0.31
20,이상혁,hanwha,우익수,6,9.0,0.023,0.25
21,정은원,hanwha,중견수,6,46.0,0.006,0.06
22,정은원,hanwha,2루수,4,31.0,0.0,0.0
23,문현빈,hanwha,유격수,1,2.0,-0.003,-0.03
24,이상혁,hanwha,중견수,3,7.0,-0.01,-0.11
25,유로결,hanwha,중견수,2,18.0,-0.011,-0.12
26,이상혁,hanwha,좌익수,3,5.0,-0.015,-0.17
27,채은성,hanwha,우익수,23,181.0,-0.031,-0.33
28,유로결,hanwha,좌익수,2,11.0,-0.036,-0.39
29,황영묵,hanwha,유격수,35,207.0,-0.071,-0.77
30,장진혁,hanwha,좌익수,17,81.0,-0.072,-0.78
31,안치홍,hanwha,2루수,14,105.0,-0.087,-0.95
32,김인환,hanwha,1루수,1,6.0,-0.089,-0.96
33,하주석,hanwha,3루수,8,52.1,-0.1,-1.09
34,이진영,hanwha,우익수,6,18.0,-0.105,-1.14
35,페라자,hanwha,우익수,38,303.0,-0.111,-1.21
36,이원석,hanwha,우익수,11,33.0,-0.145,-1.57
37,김태연,hanwha,2루수,6,30.2,-0.211,-2.29
38,임종찬,hanwha,중견수,16,105.0,-0.236,-2.57
39,노시환,hanwha,3루수,93,818.0,-0.264,-2.87
40,페라자,hanwha,좌익수,41,259.2,-0.357,-3.88
41,문현빈,hanwha,2루수,49,324.0,-0.359,-3.9
42,김인환,hanwha,좌익수,9,59.0,-0.36,-3.92
43,채은성,hanwha,1루수,39,320.0,-0.531,-5.78
44,김태연,hanwha,우익수,35,271.0,-0.557,-6.07
45,김태연,hanwha,1루수,41,283.1,-0.631,-6.87
46,안치홍,hanwha,1루수,35,286.0,-0.658,-7.16
55,황영묵,hanwha,3루수,3,3.0,nan,nan
55,이명기,hanwha,중견수,1,1.0,nan,nan
55,장규현,hanwha,포수,1,1.0,nan,nan
55,박상원,hanwha,투수,39,39.2,nan,nan
55,이명기,hanwha,좌익수,1,1.0,nan,nan
55,주현상,hanwha,투수,43,51.2,nan,nan
55,이도윤,hanwha,3루수,2,2.0,nan,nan
55,김서현,hanwha,투수,17,17.2,nan,nan
