순위,선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
1,황영묵,한화,0.301,123,389,349,52,105,8,4,3,130,35,3,1,31,0,5,56,6,0.372,0.365,0.737,27,0.326,0.143
2,안치홍,한화,0.300,128,533,473,64,142,21,0,13,202,66,1,4,49,1,6,70,10,0.427,0.370,0.797,44,0.317,1.0
3,하주석,한화,0.292,64,151,137,16,40,9,1,1,54,11,2,0,10,0,2,33,1,0.394,0.349,0.743,8,0.286,0.385
4,김태연,한화,0.291,126,472,413,59,120,24,0,12,180,61,6,4,45,0,4,89,9,0.436,0.363,0.799,33,0.295,0.0
5,박상언,한화,0.286,27,52,42,4,12,3,0,0,15,4,0,0,9,0,1,12,0,0.357,0.423,0.780,2,0.364,0.25
5,최인호,한화,0.286,82,244,210,37,60,13,2,2,83,22,4,2,25,0,3,31,3,0.395,0.367,0.762,11,0.325,0.294
7,문현빈,한화,0.277,103,289,260,29,72,16,2,5,107,47,1,2,24,1,2,53,9,0.412,0.340,0.752,16,0.341,0.258
8,이도윤,한화,0.277,134,374,336,49,93,10,3,1,112,46,6,3,26,0,3,56,5,0.333,0.332,0.665,23,0.33,0.333
9,페라자,한화,0.275,122,522,455,75,125,24,0,24,221,70,0,2,63,5,2,129,6,0.486,0.364,0.850,34,0.308,0.286
10,노시환,한화,0.272,136,601,526,88,143,20,2,24,239,89,0,4,60,9,11,129,10,0.454,0.356,0.810,35,0.314,0.0
11,권광민,한화,0.271,19,51,48,10,13,3,0,4,28,9,0,0,3,0,0,17,0,0.583,0.314,0.897,3,0.222,0.286
12,채은성,한화,0.271,124,498,436,61,118,24,0,20,202,83,0,5,49,1,8,83,12,0.463,0.351,0.814,29,0.27,0.0
13,장진혁,한화,0.263,99,327,289,56,76,16,0,9,119,44,5,1,29,0,3,72,6,0.412,0.335,0.747,19,0.333,0.4
14,최재훈,한화,0.257,116,348,280,34,72,10,0,4,94,37,8,6,33,0,21,58,10,0.336,0.371,0.707,14,0.25,1.0
15,이재원,한화,0.239,72,152,134,10,32,4,0,1,39,16,2,5,7,1,4,21,4,0.291,0.287,0.578,5,0.306,0.0
16,김인환,한화,0.237,51,143,131,11,31,2,0,1,36,7,0,0,10,0,2,32,5,0.275,0.301,0.576,7,0.206,0.154
17,이원석,한화,0.233,87,154,133,26,31,4,1,0,37,13,2,1,16,0,2,32,3,0.278,0.322,0.600,6,0.265,0.333
18,김강민,한화,0.224,41,87,76,5,17,0,0,1,20,7,0,0,8,0,3,21,1,0.263,0.322,0.585,4,0.2,0.182
19,유로결,한화,0.222,23,39,36,6,8,1,0,0,9,4,0,0,3,0,0,11,4,0.250,0.282,0.532,0,0.125,0.0
20,이진영,한화,0.204,42,103,93,20,19,6,0,1,28,13,0,0,8,0,2,27,3,0.301,0.282,0.583,5,0.308,0.333
21,정은원,한화,0.172,27,78,64,10,11,3,1,1,19,6,1,0,13,0,0,16,0,0.297,0.312,0.609,2,0.2,0.25
22,임종찬,한화,0.158,24,64,57,10,9,3,2,0,16,7,0,0,6,0,1,19,2,0.281,0.250,0.531,2,0.19,0.0
23,이상혁,한화,0.154,43,15,13,13,2,0,0,0,2,0,0,0,2,0,0,5,0,0.154,0.267,0.421,0,0.0,0.333
24,김서현,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
24,박상원,한화,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
24,이명기,한화,0.000,4,8,7,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0.000,0.000,0.000,0,0.0,0.0
24,장규현,한화,0.000,9,7,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.000,0.143,0.143,0,0.0,0.0
24,장민재,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
24,주현상,한화,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
24,한경빈,한화,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.0,0.0
