순위,선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
1,김규성,KIA,0.500,6,4,2,1,1,1,0,0,2,2,0,0,2,0,0,1,0,1.000,0.750,1.750,0,0.5,0.0
2,김도영,KIA,0.354,96,429,376,99,133,20,5,27,244,76,1,5,43,5,4,72,3,0.649,0.421,1.070,42,0.326,0.5
3,박정우,KIA,0.350,30,21,20,6,7,3,0,0,10,5,0,0,1,0,0,3,2,0.500,0.381,0.881,1,0.6,0.0
4,이우성,KIA,0.317,75,314,278,47,88,11,1,8,125,46,0,1,33,0,2,59,11,0.450,0.392,0.842,23,0.321,1.0
5,한준수,KIA,0.316,78,218,193,28,61,15,0,4,88,29,0,5,18,1,2,35,4,0.456,0.372,0.828,12,0.268,0.3
6,홍종표,KIA,0.309,64,91,81,16,25,4,2,0,33,8,3,0,6,0,1,22,0,0.407,0.364,0.771,5,0.304,0.333
7,최원준,KIA,0.304,94,359,316,56,96,18,3,7,141,44,4,1,33,0,5,51,6,0.446,0.377,0.823,28,0.341,0.333
8,소크라테스,KIA,0.300,98,427,387,69,116,19,1,21,200,71,0,3,34,3,3,68,5,0.517,0.358,0.875,34,0.35,0.0
9,박찬호,KIA,0.296,90,390,351,58,104,16,1,2,128,35,6,4,28,1,1,33,5,0.365,0.346,0.711,33,0.307,0.5
10,김선빈,KIA,0.293,78,311,276,33,81,11,0,7,113,33,2,0,27,0,5,30,10,0.409,0.367,0.776,25,0.282,0.5
11,고종욱,KIA,0.292,22,27,24,3,7,2,0,1,12,4,0,0,3,0,0,4,2,0.500,0.370,0.870,0,0.222,0.4
12,최형우,KIA,0.291,91,390,340,58,99,20,1,19,178,92,0,3,43,4,4,67,2,0.524,0.374,0.898,29,0.363,0.667
13,황대인,KIA,0.286,3,7,7,1,2,1,0,0,3,3,0,0,0,0,0,1,0,0.429,0.286,0.715,1,0.333,0.0
14,서건창,KIA,0.285,71,204,165,30,47,11,1,1,63,18,3,2,32,0,2,26,2,0.382,0.403,0.785,8,0.306,0.25
15,변우혁,KIA,0.280,31,88,82,11,23,3,2,1,33,6,0,0,4,0,2,22,4,0.402,0.330,0.732,6,0.296,0.2
16,박민,KIA,0.276,16,30,29,5,8,4,0,0,12,2,0,0,1,0,0,7,0,0.414,0.300,0.714,2,0.3,1.0
17,나성범,KIA,0.275,67,291,255,31,70,16,1,12,124,54,0,4,31,1,0,68,6,0.486,0.348,0.834,21,0.276,0.0
18,김태군,KIA,0.266,72,191,169,18,45,5,0,5,65,27,6,0,9,0,7,19,10,0.385,0.330,0.715,11,0.24,0.333
19,이창진,KIA,0.258,76,177,132,26,34,7,0,0,41,10,5,2,36,0,2,26,4,0.311,0.419,0.730,8,0.139,0.5
20,예진원,KIA,0.211,22,21,19,2,4,1,0,0,5,0,0,0,2,0,0,8,1,0.263,0.286,0.549,0,0.0,0.0
21,김호령,KIA,0.147,43,39,34,6,5,0,0,1,8,3,0,0,5,0,0,17,0,0.235,0.256,0.491,0,0.25,0.25
22,곽도규,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
22,김승현,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
22,이형범,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
22,전상현,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
22,정해영,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
22,최지민,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
22,한승택,KIA,0.000,4,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.500,0.500,0,0.0,0.0
22,황동하,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
