순위,선수명,팀명,포지션,경기수,수비이닝,수비승리기여도,평균대비수비득점기여
1,박찬호,KIA,유격수,81,697.1,0.986,10.61
2,김태군,KIA,포수,64,404.1,0.812,8.74
3,김호령,KIA,중견수,40,106.2,0.46,4.95
4,박정우,KIA,중견수,21,46.0,0.278,2.99
5,한준수,KIA,포수,67,398.2,0.224,2.41
6,이우성,KIA,좌익수,2,6.0,0.21,2.26
7,박민,KIA,유격수,10,40.0,0.204,2.19
8,서건창,KIA,2루수,30,144.0,0.166,1.79
9,최원준,KIA,중견수,64,435.1,0.159,1.72
10,김도영,KIA,3루수,88,738.0,0.084,0.9
11,홍종표,KIA,2루수,35,101.0,0.08,0.86
12,변우혁,KIA,3루수,4,17.0,0.074,0.8
13,이창진,KIA,중견수,1,5.0,0.05,0.53
14,박정우,KIA,좌익수,3,3.0,-0.002,-0.02
15,김선빈,KIA,2루수,69,538.0,-0.007,-0.07
16,박정우,KIA,우익수,1,9.0,-0.013,-0.14
17,김선빈,KIA,3루수,1,3.0,-0.024,-0.26
18,소크라테스,KIA,우익수,4,11.0,-0.035,-0.38
19,황대인,KIA,1루수,2,10.0,-0.045,-0.48
20,고종욱,KIA,좌익수,7,19.0,-0.046,-0.5
21,김규성,KIA,유격수,5,11.2,-0.086,-0.93
22,김규성,KIA,3루수,1,5.0,-0.111,-1.19
23,변우혁,KIA,1루수,18,106.0,-0.113,-1.22
24,이창진,KIA,좌익수,33,174.2,-0.142,-1.52
25,한승택,KIA,포수,3,8.0,-0.145,-1.56
26,박민,KIA,2루수,4,28.0,-0.148,-1.59
27,이우성,KIA,우익수,16,105.0,-0.152,-1.63
28,홍종표,KIA,유격수,10,59.0,-0.169,-1.82
29,소크라테스,KIA,중견수,31,218.0,-0.22,-2.36
30,최원준,KIA,우익수,58,234.2,-0.243,-2.62
31,홍종표,KIA,3루수,11,44.0,-0.26,-2.79
32,이창진,KIA,우익수,31,156.0,-0.268,-2.88
33,최형우,KIA,좌익수,13,92.0,-0.427,-4.6
34,서건창,KIA,1루수,34,188.0,-0.442,-4.76
35,나성범,KIA,우익수,38,295.1,-0.6,-6.45
36,이우성,KIA,1루수,64,507.0,-1.158,-12.46
37,소크라테스,KIA,좌익수,75,516.1,-1.273,-13.7
45,박민,KIA,3루수,3,4.0,nan,nan
45,황동하,KIA,투수,15,58.0,nan,nan
45,정해영,KIA,투수,32,32.0,nan,nan
45,곽도규,KIA,투수,39,32.0,nan,nan
45,전상현,KIA,투수,42,40.1,nan,nan
45,최지민,KIA,투수,42,36.1,nan,nan
45,김선빈,KIA,유격수,2,3.0,nan,nan
