순위,선수명,팀명,포지션,경기수,수비이닝,수비승리기여도,평균대비수비득점기여
1,김영웅,삼성,유격수,38,304.2,1.074,11.55
2,이재현,삼성,유격수,58,457.0,0.808,8.69
3,김지찬,삼성,중견수,75,530.1,0.798,8.59
4,김현준,삼성,우익수,20,110.0,0.677,7.28
5,강민호,삼성,포수,79,497.1,0.613,6.59
6,이성규,삼성,우익수,45,260.1,0.585,6.29
7,강한울,삼성,3루수,9,41.0,0.34,3.66
8,전병우,삼성,3루수,24,144.2,0.338,3.64
9,김동진,삼성,2루수,20,83.0,0.323,3.47
10,김재혁,삼성,좌익수,5,23.0,0.271,2.92
11,구자욱,삼성,좌익수,69,547.0,0.265,2.85
12,김호진,삼성,3루수,11,46.0,0.261,2.81
13,류지혁,삼성,2루수,37,233.1,0.233,2.51
14,맥키넌,삼성,1루수,50,423.1,0.209,2.25
15,김태훈,삼성,우익수,4,20.0,0.201,2.16
16,김재상,삼성,2루수,32,205.1,0.172,1.85
17,김성윤,삼성,우익수,9,59.1,0.165,1.77
18,이병헌,삼성,포수,60,285.1,0.159,1.72
19,양우현,삼성,2루수,4,31.0,0.142,1.53
19,전병우,삼성,1루수,2,11.0,0.142,1.53
21,안주형,삼성,3루수,2,3.0,0.126,1.36
22,김영웅,삼성,2루수,7,35.0,0.089,0.95
23,류승민,삼성,우익수,4,7.0,0.087,0.93
24,윤정빈,삼성,우익수,18,129.2,0.081,0.87
25,윤정빈,삼성,1루수,3,8.0,0.074,0.79
26,이성규,삼성,좌익수,7,30.0,0.073,0.78
27,류지혁,삼성,3루수,23,155.1,0.048,0.52
28,김재혁,삼성,1루수,4,31.0,0.047,0.5
29,이창용,삼성,1루수,3,22.0,0.043,0.46
30,김재상,삼성,3루수,2,3.0,0.031,0.33
31,윤정빈,삼성,좌익수,3,19.1,0.029,0.31
32,김성윤,삼성,중견수,21,83.1,0.024,0.26
33,공민규,삼성,1루수,2,5.0,0.015,0.16
34,김호진,삼성,2루수,1,2.0,0.002,0.02
35,김재혁,삼성,우익수,10,22.0,0.0,0.0
36,김태훈,삼성,좌익수,2,3.2,-0.014,-0.15
37,김재혁,삼성,중견수,6,18.0,-0.019,-0.2
37,김헌곤,삼성,우익수,33,203.1,-0.019,-0.21
39,김재성,삼성,1루수,1,5.0,-0.038,-0.41
40,김재성,삼성,포수,7,29.0,-0.041,-0.44
41,류지혁,삼성,1루수,6,12.0,-0.043,-0.46
42,김호진,삼성,유격수,7,21.0,-0.05,-0.54
43,김지찬,삼성,2루수,10,14.0,-0.055,-0.59
44,이성규,삼성,중견수,23,128.0,-0.06,-0.65
45,이성규,삼성,1루수,18,57.0,-0.067,-0.72
46,김동진,삼성,3루수,5,16.0,-0.071,-0.76
47,김현준,삼성,중견수,13,37.0,-0.078,-0.84
48,박병호,삼성,1루수,19,150.2,-0.083,-0.89
49,김현준,삼성,좌익수,2,12.1,-0.11,-1.19
50,오재일,삼성,1루수,12,84.2,-0.113,-1.22
50,공민규,삼성,3루수,9,33.0,-0.113,-1.22
52,이창용,삼성,3루수,1,4.0,-0.121,-1.3
53,안주형,삼성,유격수,7,25.0,-0.131,-1.41
54,김헌곤,삼성,좌익수,40,168.1,-0.136,-1.47
55,김헌곤,삼성,중견수,4,15.0,-0.183,-1.97
56,김성윤,삼성,좌익수,1,8.0,-0.224,-2.41
57,맥키넌,삼성,3루수,6,36.2,-0.233,-2.51
58,강한울,삼성,2루수,8,25.0,-0.247,-2.66
59,김영웅,삼성,3루수,46,329.0,-0.255,-2.74
60,안주형,삼성,2루수,37,183.0,-0.363,-3.9
72,강한울,삼성,유격수,3,3.0,nan,nan
72,김재상,삼성,유격수,1,1.0,nan,nan
72,김호진,삼성,1루수,1,1.0,nan,nan
72,김태훈,삼성,투수,38,36.1,nan,nan
72,이상민,삼성,투수,10,9.1,nan,nan
72,오승환,삼성,투수,39,40.0,nan,nan
72,강한울,삼성,1루수,1,1.0,nan,nan
72,김재윤,삼성,투수,42,44.1,nan,nan
72,최지광,삼성,투수,11,15.2,nan,nan
72,육선엽,삼성,투수,4,6.2,nan,nan
72,김대우,삼성,투수,23,29.1,nan,nan
