순위,선수명,팀명,포지션,경기수,수비이닝,수비승리기여도,평균대비수비득점기여
1.0,이도윤,한화,유격수,64,458.1,0.56,6.03
2.0,최재훈,한화,포수,70,500.0,0.454,4.88
3.0,최인호,한화,좌익수,60,383.2,0.274,2.95
4.0,이원석,한화,중견수,33,163.0,0.24,2.59
5.0,김강민,한화,중견수,31,153.1,0.195,2.1
6.0,이진영,한화,중견수,19,109.0,0.194,2.09
7.0,장진혁,한화,우익수,14,45.1,0.171,1.84
8.0,박상언,한화,포수,26,113.0,0.15,1.61
9.0,임종찬,한화,우익수,13,33.0,0.139,1.5
10.0,이재원,한화,포수,36,174.1,0.133,1.43
11.0,황영묵,한화,2루수,39,276.2,0.124,1.34
12.0,이원석,한화,좌익수,2,11.0,0.065,0.7
13.0,정은원,한화,좌익수,10,70.0,0.058,0.63
14.0,문현빈,한화,3루수,3,20.0,0.055,0.6
15.0,이도윤,한화,2루수,19,82.0,0.044,0.47
16.0,유로결,한화,우익수,1,2.0,0.028,0.3
17.0,장진혁,한화,중견수,28,190.0,0.012,0.12
18.0,정은원,한화,중견수,6,46.0,0.003,0.04
19.0,정은원,한화,2루수,4,31.0,-0.001,-0.01
20.0,안치홍,한화,2루수,6,45.0,-0.002,-0.03
21.0,문현빈,한화,유격수,1,2.0,-0.003,-0.03
22.0,황영묵,한화,유격수,32,201.0,-0.006,-0.06
23.0,유로결,한화,중견수,2,18.0,-0.012,-0.12
24.0,이상혁,한화,중견수,1,3.0,-0.02,-0.22
25.0,노시환,한화,3루수,81,712.0,-0.024,-0.26
26.0,장진혁,한화,좌익수,15,77.0,-0.027,-0.29
27.0,유로결,한화,좌익수,2,11.0,-0.038,-0.41
28.0,채은성,한화,우익수,23,181.0,-0.054,-0.59
29.0,하주석,한화,유격수,22,127.0,-0.058,-0.62
30.0,김태연,한화,우익수,23,174.0,-0.06,-0.65
31.0,김인환,한화,1루수,1,6.0,-0.089,-0.95
32.0,하주석,한화,3루수,8,52.1,-0.096,-1.03
33.0,이진영,한화,우익수,6,18.0,-0.107,-1.15
34.0,이원석,한화,우익수,9,27.0,-0.172,-1.85
35.0,페라자,한화,우익수,38,303.0,-0.192,-2.06
36.0,김태연,한화,2루수,6,30.2,-0.213,-2.29
37.0,임종찬,한화,중견수,16,105.0,-0.245,-2.63
38.0,채은성,한화,1루수,27,217.0,-0.302,-3.25
39.0,페라자,한화,좌익수,37,232.2,-0.336,-3.62
40.0,문현빈,한화,2루수,48,323.0,-0.429,-4.61
41.0,김태연,한화,1루수,40,282.1,-0.668,-7.19
42.0,안치홍,한화,1루수,34,283.0,-0.697,-7.5
nan,이명기,한화,좌익수,1,1.0,nan,nan
nan,주현상,한화,nan,36,45.0,nan,nan
nan,장규현,한화,포수,1,1.0,nan,nan
nan,이도윤,한화,3루수,1,1.0,nan,nan
nan,이명기,한화,중견수,1,1.0,nan,nan
nan,이상혁,한화,우익수,4,5.0,nan,nan
nan,황영묵,한화,3루수,3,3.0,nan,nan
nan,박상원,한화,nan,32,29.2,nan,nan
nan,이상혁,한화,좌익수,1,2.0,nan,nan
