순위,선수명,팀명,포지션,경기수,수비이닝,수비승리기여도,평균대비수비득점기여
1,문상철,KT,1루수,86,628.2,1.221,13.72
2,장성우,KT,포수,112,835.1,1.101,12.37
3,김상수,KT,유격수,77,578.2,0.923,10.37
4,로하스,KT,좌익수,84,537.0,0.65,7.3
5,신본기,KT,유격수,50,220.2,0.417,4.69
6,조대현,KT,포수,26,120.0,0.392,4.4
7,정준영,KT,우익수,33,166.1,0.329,3.7
7,오윤석,KT,2루수,62,401.0,0.329,3.7
9,심우준,KT,유격수,51,413.2,0.297,3.34
10,조용호,KT,우익수,49,295.0,0.201,2.26
11,김병준,KT,중견수,16,41.0,0.167,1.88
12,김민혁,KT,좌익수,80,535.0,0.14,1.58
13,이호연,KT,3루수,11,43.0,0.134,1.5
14,홍현빈,KT,좌익수,9,17.2,0.096,1.08
15,장준원,KT,유격수,11,34.0,0.08,0.9
16,천성호,KT,3루수,3,11.0,0.078,0.87
17,안치영,KT,중견수,14,91.0,0.058,0.65
18,김준태,KT,포수,18,57.1,0.057,0.65
19,심우준,KT,2루수,1,3.0,0.055,0.62
20,박민석,KT,3루수,2,5.0,0.039,0.44
21,권동진,KT,2루수,7,24.1,0.034,0.38
22,정준영,KT,좌익수,7,15.0,0.031,0.34
23,강민성,KT,1루수,1,2.0,0.025,0.28
24,윤준혁,KT,유격수,2,3.0,0.024,0.28
25,로하스,KT,중견수,6,27.0,0.018,0.2
25,천성호,KT,좌익수,7,33.2,0.018,0.2
27,장준원,KT,3루수,4,23.0,0.011,0.12
28,김민혁,KT,우익수,8,34.0,0.01,0.11
29,정준영,KT,중견수,3,13.0,0.008,0.09
30,안치영,KT,좌익수,3,4.0,0.006,0.07
30,문상철,KT,3루수,1,1.0,0.006,0.07
30,오윤석,KT,1루수,5,7.0,0.006,0.06
33,문상철,KT,좌익수,1,2.0,0.002,0.02
34,천성호,KT,중견수,1,1.0,0.0,0.0
35,이호연,KT,1루수,1,2.0,-0.001,-0.01
36,박병호,KT,1루수,32,227.1,-0.015,-0.17
37,송민섭,KT,중견수,10,24.0,-0.018,-0.2
38,안치영,KT,우익수,13,30.0,-0.031,-0.34
39,김건형,KT,우익수,12,66.0,-0.033,-0.37
40,박경수,KT,2루수,3,3.1,-0.041,-0.46
41,강현우,KT,포수,17,81.0,-0.053,-0.59
42,신본기,KT,3루수,17,48.0,-0.062,-0.69
43,강백호,KT,포수,30,169.2,-0.078,-0.87
44,박민석,KT,유격수,5,8.1,-0.08,-0.89
45,김병준,KT,우익수,10,20.2,-0.083,-0.93
46,권동진,KT,3루수,1,4.0,-0.094,-1.05
47,안현민,KT,좌익수,13,52.0,-0.107,-1.2
48,윤준혁,KT,3루수,8,36.1,-0.145,-1.63
49,김상수,KT,2루수,38,281.1,-0.146,-1.64
50,홍현빈,KT,중견수,8,24.0,-0.149,-1.68
51,오윤석,KT,3루수,8,25.0,-0.154,-1.73
52,박민석,KT,2루수,6,17.0,-0.155,-1.74
53,강백호,KT,우익수,5,24.0,-0.159,-1.78
54,김민혁,KT,중견수,14,105.1,-0.17,-1.91
55,신본기,KT,2루수,27,98.0,-0.212,-2.38
56,홍현빈,KT,우익수,15,29.0,-0.246,-2.76
57,이호연,KT,2루수,10,32.0,-0.252,-2.83
58,송민섭,KT,우익수,23,41.1,-0.336,-3.78
59,조용호,KT,좌익수,13,57.2,-0.399,-4.48
60,황재균,KT,3루수,133,1067.0,-0.457,-5.13
61,로하스,KT,우익수,78,557.0,-0.661,-7.43
62,천성호,KT,2루수,55,403.1,-0.918,-10.31
63,배정대,KT,중견수,111,937.0,-1.104,-12.4
64,오재일,KT,1루수,53,395.1,-1.122,-12.6
80,김병준,KT,좌익수,5,7.0,nan,nan
80,주권,KT,투수,46,57.0,nan,nan
80,박세진,KT,투수,6,5.1,nan,nan
80,성재헌,KT,투수,30,32.0,nan,nan
80,황재균,KT,유격수,4,5.0,nan,nan
80,박영현,KT,투수,64,74.2,nan,nan
80,김민,KT,투수,69,76.1,nan,nan
80,황재균,KT,1루수,1,1.0,nan,nan
80,우규민,KT,투수,44,43.0,nan,nan
80,강건,KT,투수,4,4.0,nan,nan
80,이선우,KT,투수,6,10.0,nan,nan
80,송민섭,KT,좌익수,2,2.1,nan,nan
80,김영현,KT,투수,8,7.1,nan,nan
80,박시영,KT,투수,24,25.1,nan,nan
80,손동현,KT,투수,40,45.1,nan,nan
