순위,선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사
1,박해민,LG,131,51,38,13,74.5,3,3
2,신민재,LG,121,42,32,10,76.2,7,0
3,오지환,LG,97,20,16,4,80.0,4,0
4,문성주,LG,86,20,13,7,65.0,5,0
5,오스틴,LG,128,20,12,8,60.0,6,1
6,최승민,LG,47,18,11,7,61.1,1,2
7,홍창기,LG,127,21,10,11,47.6,7,1
8,문보경,LG,131,13,7,6,53.8,2,2
9,구본혁,LG,121,10,6,4,60.0,2,0
9,김현수,LG,125,7,6,1,85.7,6,1
9,최원영,LG,46,10,6,4,60.0,1,1
12,김대원,LG,19,3,2,1,66.7,1,0
12,안익훈,LG,37,2,2,0,100,0,0
14,박동원,LG,118,1,1,0,100,6,0
14,송찬의,LG,10,1,1,0,100,0,0
16,김대현,LG,3,0,0,0,-,0,0
16,김민수,LG,9,0,0,0,-,0,0
16,김범석,LG,62,0,0,0,-,1,0
16,김성우,LG,4,0,0,0,-,0,0
16,김성진,LG,8,0,0,0,-,0,0
16,김영준,LG,1,0,0,0,-,0,0
16,김유영,LG,2,0,0,0,-,0,0
16,김주성,LG,12,0,0,0,-,0,0
16,김진성,LG,3,0,0,0,-,0,0
16,김태우,LG,4,0,0,0,-,0,0
16,김현종,LG,15,0,0,0,-,0,0
16,박명근,LG,1,0,0,0,-,0,0
16,백승현,LG,2,0,0,0,-,0,0
16,유영찬,LG,5,0,0,0,-,0,0
16,이영빈,LG,19,1,0,1,0.0,0,0
16,이종준,LG,2,0,0,0,-,0,0
16,이지강,LG,3,0,0,0,-,0,0
16,전준호,LG,3,0,0,0,-,0,0
16,정우영,LG,1,0,0,0,-,0,0
16,진우영,LG,1,0,0,0,-,0,0
16,최동환,LG,1,0,0,0,-,0,0
16,최명경,LG,1,0,0,0,-,0,0
16,함창건,LG,14,0,0,0,-,0,0
16,허도환,LG,53,1,0,1,0.0,2,0
