순위,선수명,팀명,포지션,경기수,수비이닝,수비승리기여도,평균대비수비득점기여
1,박준영,두산,유격수,50,374.2,0.864,9.3
2,강승호,두산,2루수,81,652.0,0.826,8.89
3,김기연,두산,포수,47,328.0,0.55,5.92
4,정수빈,두산,중견수,85,699.2,0.522,5.62
5,양의지,두산,포수,52,427.1,0.428,4.6
6,허경민,두산,3루수,73,583.0,0.414,4.45
7,조수행,두산,좌익수,58,428.0,0.366,3.94
8,이유찬,두산,3루수,13,98.0,0.278,2.99
9,이유찬,두산,유격수,11,66.0,0.249,2.68
10,이유찬,두산,2루수,26,97.2,0.248,2.67
11,김대한,두산,우익수,27,116.0,0.22,2.37
12,전민재,두산,3루수,24,86.0,0.078,0.83
13,전민재,두산,유격수,36,221.0,0.065,0.7
14,양찬열,두산,우익수,3,4.0,0.044,0.47
15,안승한,두산,포수,2,9.1,0.041,0.44
16,조수행,두산,우익수,13,53.0,0.022,0.24
17,서예일,두산,유격수,3,5.0,0.017,0.18
18,장승현,두산,포수,9,58.0,0.014,0.15
19,이유찬,두산,중견수,2,3.0,0.005,0.05
20,김태근,두산,우익수,8,17.0,0.002,0.02
21,전다민,두산,중견수,1,2.0,0.0,0.0
21,전다민,두산,우익수,1,3.0,0.0,0.0
23,홍성호,두산,좌익수,1,2.0,-0.001,-0.01
23,이유찬,두산,좌익수,1,1.0,-0.001,-0.01
25,홍성호,두산,1루수,3,5.0,-0.002,-0.03
26,홍성호,두산,우익수,2,4.0,-0.003,-0.03
27,강승호,두산,1루수,26,106.2,-0.015,-0.16
28,서예일,두산,3루수,9,34.0,-0.018,-0.19
28,김태근,두산,좌익수,6,37.2,-0.018,-0.19
30,박준영,두산,3루수,5,15.0,-0.03,-0.32
31,전다민,두산,좌익수,7,38.2,-0.038,-0.41
32,김대한,두산,중견수,5,10.0,-0.049,-0.52
33,김인태,두산,우익수,1,6.0,-0.061,-0.66
34,윤준호,두산,포수,3,9.0,-0.086,-0.93
35,박계범,두산,2루수,13,24.0,-0.111,-1.19
36,박계범,두산,유격수,3,19.0,-0.117,-1.26
37,김인태,두산,좌익수,7,38.0,-0.146,-1.58
38,김태근,두산,중견수,6,19.0,-0.147,-1.58
39,전민재,두산,2루수,9,57.0,-0.149,-1.6
40,조수행,두산,중견수,18,98.0,-0.206,-2.21
41,김대한,두산,좌익수,19,80.0,-0.258,-2.77
42,박계범,두산,3루수,10,15.2,-0.288,-3.1
43,김재호,두산,유격수,25,146.0,-0.476,-5.12
44,김재환,두산,좌익수,27,206.1,-0.49,-5.27
45,라모스,두산,우익수,76,628.2,-0.681,-7.33
46,양석환,두산,1루수,84,717.0,-0.727,-7.82
62,박계범,두산,1루수,1,1.0,nan,nan
62,이교훈,두산,투수,16,19.1,nan,nan
62,박정수,두산,투수,25,25.2,nan,nan
62,이영하,두산,투수,39,45.0,nan,nan
62,박치국,두산,투수,35,30.2,nan,nan
62,최지강,두산,투수,45,41.1,nan,nan
62,김민규,두산,투수,9,14.1,nan,nan
62,김호준,두산,투수,14,13.0,nan,nan
62,김동주,두산,투수,13,49.2,nan,nan
62,김민혁,두산,1루수,1,1.0,nan,nan
62,홍건희,두산,투수,34,34.1,nan,nan
62,오명진,두산,2루수,1,1.0,nan,nan
62,김명신,두산,투수,28,27.0,nan,nan
62,전민재,두산,1루수,1,1.0,nan,nan
62,정철원,두산,투수,20,19.0,nan,nan
