순위,선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
1,전다민,두산,0.375,11,21,16,6,6,1,0,0,7,1,0,0,5,0,0,5,0,0.438,0.524,0.962,0,0.429,1.0
2,허경민,두산,0.351,76,315,276,50,97,18,0,6,133,46,0,5,22,0,12,18,6,0.482,0.416,0.898,29,0.333,0.667
3,양의지,두산,0.340,80,338,303,40,103,12,0,12,151,73,0,6,23,3,6,33,8,0.498,0.391,0.889,29,0.439,0.5
4,홍성호,두산,0.333,13,13,12,0,4,2,0,0,6,1,0,0,1,0,0,5,0,0.500,0.385,0.885,0,0.167,0.25
5,라모스,두산,0.309,75,326,291,42,90,17,3,10,143,47,1,6,26,0,2,54,5,0.491,0.363,0.854,26,0.264,0.0
6,강승호,두산,0.289,92,375,346,50,100,24,6,13,175,54,1,3,21,3,4,104,3,0.506,0.334,0.840,27,0.276,0.333
7,서예일,두산,0.286,15,14,14,1,4,0,0,0,4,1,0,0,0,0,0,3,0,0.286,0.286,0.572,1,0.667,0.0
8,이유찬,두산,0.283,60,114,99,21,28,3,0,1,34,7,1,0,13,0,1,22,4,0.343,0.372,0.715,7,0.233,0.333
9,정수빈,두산,0.282,86,374,316,64,89,12,3,3,116,28,6,6,40,1,6,42,5,0.367,0.367,0.734,27,0.27,0.0
10,김기연,두산,0.276,51,151,134,20,37,5,0,3,51,16,1,2,12,0,2,21,4,0.381,0.340,0.721,9,0.286,0.167
11,조수행,두산,0.273,83,242,209,42,57,2,2,0,63,16,8,3,22,1,0,30,2,0.301,0.338,0.639,16,0.193,0.5
12,전민재,두산,0.271,63,152,140,22,38,4,0,2,48,18,2,1,8,0,1,29,6,0.343,0.313,0.656,11,0.324,0.0
13,김재환,두산,0.270,87,358,307,44,83,19,0,17,153,62,0,8,38,3,5,107,7,0.498,0.352,0.850,16,0.223,0.667
14,김재호,두산,0.250,29,69,56,6,14,4,0,0,18,3,2,1,9,0,1,10,2,0.321,0.358,0.679,3,0.5,0.0
14,윤준호,두산,0.250,3,4,4,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0.250,0.250,0.500,0,0.0,0.0
16,양석환,두산,0.246,91,374,337,50,83,18,1,20,163,65,0,2,32,0,3,79,13,0.484,0.316,0.800,26,0.286,0.667
17,박준영,두산,0.232,53,178,155,22,36,7,2,5,62,21,1,1,18,0,3,48,0,0.400,0.322,0.722,7,0.189,1.0
18,김민혁,두산,0.200,5,8,5,1,1,0,0,1,4,2,0,0,3,0,0,3,0,0.800,0.500,1.300,0,0.0,0.0
18,박계범,두산,0.200,24,20,15,5,3,1,0,0,4,0,0,0,5,0,0,7,2,0.267,0.400,0.667,0,0.0,0.0
18,안승한,두산,0.200,4,5,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.200,0.200,0.400,0,0.0,0.5
18,장승현,두산,0.200,9,23,20,1,4,2,0,0,6,0,1,0,2,0,0,5,0,0.300,0.273,0.573,1,0.0,0.0
22,김인태,두산,0.174,10,26,23,3,4,0,0,1,7,2,0,1,2,0,0,7,1,0.304,0.231,0.535,0,0.167,0.0
23,김대한,두산,0.139,54,86,72,9,10,1,0,1,14,7,2,2,8,0,2,25,1,0.194,0.238,0.432,1,0.158,0.0
24,김태근,두산,0.105,27,22,19,3,2,0,0,0,2,1,1,0,0,0,2,9,0,0.105,0.190,0.295,0,0.333,0.0
25,김동주,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
25,김명신,두산,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
25,김민규,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
25,김호준,두산,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
25,박민준,두산,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.0,0.0
25,박정수,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
25,박치국,두산,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
25,양찬열,두산,0.000,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.0,0.0
25,오명진,두산,0.000,2,2,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0.000,0.500,0.500,0,0.0,0.0
25,이교훈,두산,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
25,이영하,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
25,정철원,두산,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
25,최지강,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
25,홍건희,두산,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
