순위,선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
1,강성우,롯데,0.500,2,3,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.500,0.500,1.000,0,0.0,0.0
2,레이예스,롯데,0.354,94,409,373,55,132,25,2,10,191,78,0,7,28,0,1,56,10,0.512,0.394,0.906,38,0.419,0.0
3,황성빈,롯데,0.309,79,257,230,63,71,5,4,4,96,17,5,1,19,0,2,34,2,0.417,0.365,0.782,21,0.25,0.0
4,이정훈,롯데,0.309,44,95,81,10,25,7,0,0,32,17,1,2,11,1,0,18,3,0.395,0.383,0.778,4,0.367,0.25
5,손호영,롯데,0.306,53,211,193,33,59,13,2,8,100,37,1,1,11,1,5,33,3,0.518,0.357,0.875,18,0.35,0.0
6,나승엽,롯데,0.303,71,283,238,34,72,21,3,4,111,34,0,3,40,0,2,54,2,0.466,0.403,0.869,18,0.316,0.333
7,윤동희,롯데,0.300,91,394,343,66,103,24,3,6,151,48,2,3,44,0,2,67,6,0.440,0.380,0.820,28,0.33,0.333
8,고승민,롯데,0.295,70,303,268,47,79,16,2,6,117,46,0,5,29,0,1,49,4,0.437,0.360,0.797,20,0.343,1.0
9,전준우,롯데,0.283,59,262,233,29,66,14,1,11,115,45,1,1,24,0,3,41,7,0.494,0.356,0.850,19,0.21,0.0
10,이학주,롯데,0.263,43,105,95,13,25,2,2,2,37,4,2,0,6,0,2,44,0,0.389,0.320,0.709,6,0.15,0.0
11,박승욱,롯데,0.262,92,291,252,33,66,13,1,4,93,34,2,2,28,2,7,76,4,0.369,0.349,0.718,17,0.256,0.0
12,한동희,롯데,0.257,14,36,35,1,9,2,0,0,11,3,0,0,1,1,0,9,1,0.314,0.278,0.592,1,0.182,0.333
13,정훈,롯데,0.255,66,221,196,23,50,13,0,8,87,34,1,2,22,0,0,41,2,0.444,0.327,0.771,13,0.277,0.091
14,최항,롯데,0.254,61,135,126,14,32,3,1,0,37,12,0,0,9,0,0,30,3,0.294,0.304,0.598,7,0.244,0.25
15,정보근,롯데,0.224,49,89,85,5,19,0,1,2,27,5,2,0,2,0,0,19,3,0.318,0.241,0.559,2,0.222,0.0
16,김민석,롯데,0.203,32,80,74,10,15,3,1,0,20,6,1,0,2,0,3,19,4,0.270,0.253,0.523,2,0.3,0.143
17,김동혁,롯데,0.200,31,17,15,6,3,0,1,0,5,1,0,0,2,0,0,5,0,0.333,0.294,0.627,0,0.333,0.0
17,김민성,롯데,0.200,35,84,70,6,14,5,0,2,25,8,0,1,10,0,3,18,1,0.357,0.321,0.678,1,0.2,0.429
17,장두성,롯데,0.200,30,19,15,10,3,0,0,0,3,0,0,0,2,0,2,5,0,0.200,0.368,0.568,0,0.0,0.0
20,손성빈,롯데,0.195,49,95,87,15,17,3,2,3,33,8,0,0,7,0,1,22,3,0.379,0.263,0.642,3,0.125,0.0
21,유강남,롯데,0.191,52,155,136,11,26,3,0,5,44,20,2,1,9,0,7,25,4,0.324,0.275,0.599,5,0.234,0.0
22,오선진,롯데,0.188,18,23,16,0,3,1,0,0,4,0,3,0,2,0,2,7,0,0.250,0.350,0.600,0,0.2,0.0
23,노진혁,롯데,0.185,40,94,81,6,15,3,0,0,18,9,1,2,9,0,1,22,1,0.222,0.269,0.491,1,0.2,0.25
24,이주찬,롯데,0.174,14,24,23,6,4,1,0,1,8,2,0,0,1,0,0,9,1,0.348,0.208,0.556,0,0.25,0.5
25,서동욱,롯데,0.143,12,15,14,1,2,1,0,0,3,0,0,0,0,0,1,4,0,0.214,0.200,0.414,0,0.0,1.0
25,신윤후,롯데,0.143,16,24,21,3,3,0,0,0,3,1,1,0,1,0,1,3,1,0.143,0.217,0.360,0,0.2,0.0
27,김원중,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,백두산,롯데,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.0,0.0
27,이선우,롯데,-,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,이호준,롯데,-,3,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,-,1.000,1.000,0,0.0,0.0
27,정대선,롯데,0.000,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.000,0.000,0.000,0,0.0,0.0
27,추재현,롯데,-,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
