순위,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
1,카데나스,삼성,0.348,4,5,5,1.00,1,0.20,4.04,0.348,4.6,0.343
2,강민호,삼성,0.307,22,81,72,1.13,5,0.79,3.39,0.178,46.5,0.292
3,구자욱,삼성,0.305,47,93,101,0.92,8,0.61,3.82,0.251,70.8,0.308
4,김지찬,삼성,0.299,14,111,76,1.46,3,1.44,3.69,0.066,51.0,0.268
5,맥키넌,삼성,0.294,17,55,107,0.51,3,1.18,3.71,0.092,41.5,0.268
6,윤정빈,삼성,0.291,5,19,18,1.06,2,0.31,4.18,0.128,13.7,0.265
7,김헌곤,삼성,0.285,15,49,48,1.02,2,0.39,4.20,0.167,27.6,0.267
8,류지혁,삼성,0.277,9,61,39,1.56,3,0.39,3.93,0.068,26.3,0.243
9,이재현,삼성,0.273,24,49,72,0.68,2,0.63,4.32,0.176,39.9,0.276
10,이병헌,삼성,0.269,5,18,21,0.86,0,0.32,4.03,0.067,13.5,0.244
11,김영웅,삼성,0.257,35,63,82,0.77,6,0.33,3.79,0.225,57.3,0.27
12,이성규,삼성,0.252,24,38,59,0.64,4,0.31,3.89,0.266,42.5,0.287
13,김재상,삼성,0.238,6,26,16,1.63,0,0.22,3.60,0.119,9.6,0.214
14,김성윤,삼성,0.222,2,24,12,2.00,1,0.53,3.34,0.032,6.7,0.203
14,김태훈,삼성,0.222,1,6,5,1.20,1,0.00,3.47,0.056,0.9,0.188
16,박병호,삼성,0.211,14,41,46,0.89,3,0.46,4.23,0.150,27.4,0.246
17,안주형,삼성,0.210,2,29,15,1.93,0,0.35,3.86,0.025,5.4,0.185
18,김재성,삼성,0.200,1,7,4,1.75,0,0.60,4.00,0.050,1.4,0.199
18,김현준,삼성,0.200,8,29,24,1.21,1,0.23,3.92,0.090,7.4,0.189
20,전병우,삼성,0.193,3,11,12,0.92,0,0.38,4.40,0.053,4.5,0.201
21,김동엽,삼성,0.182,1,3,2,1.50,0,0.20,3.57,0.091,1.3,0.197
22,김재혁,삼성,0.159,3,11,9,1.22,2,0.16,4.04,0.091,1.7,0.154
23,이창용,삼성,0.154,0,5,5,1.00,0,0.00,3.54,0.000,0.0,0.108
24,김동진,삼성,0.125,1,13,8,1.63,0,0.43,3.14,0.094,1.1,0.145
25,강한울,삼성,0.095,0,8,6,1.33,0,0.00,3.80,0.000,-0.6,0.065
26,공민규,삼성,0.077,1,1,3,0.33,0,0.13,4.19,0.231,0.9,0.19
27,김호진,삼성,0.074,0,8,8,1.00,0,0.10,3.13,0.000,-0.7,0.078
28,김대우,삼성,-,0,0,0,-,0,-,-,-,0.0,0.0
28,김재윤,삼성,-,0,0,0,-,0,-,-,-,0.0,0.0
28,김태훈,삼성,-,0,0,0,-,0,-,-,-,0.0,0.0
28,류승민,삼성,0.000,0,0,0,-,0,2.00,5.67,0.000,0.6,0.3
28,양우현,삼성,0.000,0,4,2,2.00,0,0.20,3.77,0.000,-1.0,0.037
28,오승환,삼성,-,0,0,0,-,0,-,-,-,0.0,0.0
28,육선엽,삼성,-,0,0,0,-,0,-,-,-,0.0,0.0
28,이상민,삼성,-,0,0,0,-,0,-,-,-,0.0,0.0
28,최지광,삼성,-,0,0,0,-,0,-,-,-,0.0,0.0
