순위,선수명,팀명,포지션,경기수,수비이닝,수비승리기여도,평균대비수비득점기여
1,김영웅,samsung,유격수,38,304.2,1.084,11.7
2,이재현,samsung,유격수,64,508.2,0.896,9.67
3,강민호,samsung,포수,85,545.0,0.743,8.01
4,김현준,samsung,우익수,23,124.0,0.634,6.84
5,김지찬,samsung,중견수,80,556.1,0.597,6.44
6,이성규,samsung,우익수,45,260.1,0.59,6.36
7,전병우,samsung,3루수,24,144.2,0.347,3.75
8,강한울,samsung,3루수,9,41.0,0.331,3.57
9,김동진,samsung,2루수,21,84.0,0.311,3.35
10,맥키넌,samsung,1루수,50,423.1,0.285,3.08
11,김재혁,samsung,좌익수,5,23.0,0.274,2.95
12,류지혁,samsung,2루수,42,272.1,0.233,2.52
13,김호진,samsung,3루수,12,47.0,0.226,2.44
14,김태훈,samsung,우익수,4,20.0,0.199,2.15
15,김성윤,samsung,우익수,9,59.1,0.165,1.78
16,구자욱,samsung,좌익수,71,559.0,0.147,1.58
17,양우현,samsung,2루수,4,31.0,0.139,1.5
18,김재상,samsung,2루수,32,205.1,0.136,1.47
19,안주형,samsung,3루수,2,3.0,0.127,1.37
20,류승민,samsung,우익수,4,7.0,0.087,0.94
20,김영웅,samsung,2루수,7,35.0,0.087,0.93
22,이병헌,samsung,포수,64,298.1,0.078,0.84
23,이성규,samsung,좌익수,7,30.0,0.077,0.84
24,전병우,samsung,1루수,3,18.0,0.067,0.73
25,윤정빈,samsung,1루수,5,23.0,0.065,0.7
26,김재혁,samsung,1루수,4,31.0,0.047,0.51
27,이창용,samsung,1루수,3,22.0,0.045,0.49
28,김재상,samsung,3루수,2,3.0,0.031,0.33
29,김성윤,samsung,중견수,21,83.1,0.028,0.3
30,윤정빈,samsung,우익수,21,141.2,0.018,0.19
31,윤정빈,samsung,좌익수,6,24.1,0.016,0.17
31,류지혁,samsung,3루수,24,157.1,0.016,0.17
33,공민규,samsung,1루수,2,5.0,0.015,0.17
34,김호진,samsung,2루수,1,2.0,0.002,0.02
35,카데나스,samsung,좌익수,1,1.0,-0.001,-0.01
36,김헌곤,samsung,우익수,33,203.1,-0.011,-0.12
37,김재혁,samsung,중견수,6,18.0,-0.019,-0.2
38,김재성,samsung,포수,7,29.0,-0.033,-0.36
39,김재성,samsung,1루수,1,5.0,-0.038,-0.41
40,김지찬,samsung,2루수,10,14.0,-0.055,-0.6
41,김호진,samsung,유격수,8,23.0,-0.064,-0.69
42,김동진,samsung,3루수,5,16.0,-0.069,-0.74
43,이성규,samsung,1루수,23,86.0,-0.07,-0.76
44,박병호,samsung,1루수,19,150.2,-0.073,-0.79
45,류지혁,samsung,1루수,8,21.2,-0.079,-0.86
46,김태훈,samsung,좌익수,3,11.2,-0.086,-0.93
47,오재일,samsung,1루수,12,84.2,-0.107,-1.16
48,김현준,samsung,좌익수,2,12.1,-0.109,-1.18
49,공민규,samsung,3루수,9,33.0,-0.111,-1.2
50,카데나스,samsung,우익수,5,33.2,-0.121,-1.3
50,이창용,samsung,3루수,1,4.0,-0.121,-1.31
52,김재혁,samsung,우익수,11,23.0,-0.125,-1.35
52,안주형,samsung,유격수,8,32.0,-0.125,-1.35
54,김헌곤,samsung,좌익수,45,203.0,-0.153,-1.65
55,김헌곤,samsung,중견수,4,15.0,-0.183,-1.97
56,김현준,samsung,중견수,17,64.2,-0.205,-2.21
57,이성규,samsung,중견수,24,135.0,-0.215,-2.32
58,김성윤,samsung,좌익수,1,8.0,-0.221,-2.38
59,맥키넌,samsung,3루수,6,36.2,-0.232,-2.5
60,강한울,samsung,2루수,8,25.0,-0.25,-2.7
61,김영웅,samsung,3루수,53,386.2,-0.252,-2.72
62,안주형,samsung,2루수,42,203.2,-0.3,-3.23
74,강한울,samsung,유격수,3,3.0,nan,nan
74,김재상,samsung,유격수,1,1.0,nan,nan
74,김호진,samsung,1루수,1,1.0,nan,nan
74,김태훈,samsung,투수,38,36.1,nan,nan
74,이상민,samsung,투수,14,14.1,nan,nan
74,오승환,samsung,투수,43,42.2,nan,nan
74,강한울,samsung,1루수,1,1.0,nan,nan
74,김재윤,samsung,투수,45,47.0,nan,nan
74,최지광,samsung,투수,15,18.1,nan,nan
74,육선엽,samsung,투수,4,6.2,nan,nan
74,김대우,samsung,투수,24,30.0,nan,nan
